Name,Research unit(s),URL,Research,Words,Synonym_,merge_synonyms
David Michael Bellos,French & Italian,https://collaborate.princeton.edu/en/persons/david-michael-bellos,French Italian,"French, Italian","French_people, French, Gallic, Daniel_Chester_French, ","French, Italian, French_people, French, Gallic, Daniel_Chester_French, "
Roland Jean-Marc Benabou,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/roland-jean-marc-benabou,Princeton School of Public and International Affairs,"Princeton, School, of, Public, and, International, Affairs","Princeton, Princeton_University, , , , , , ","Princeton, School, of, Public, and, International, Affairs, Princeton, Princeton_University, , , , , , "
Andre Benhaim,French & Italian,https://collaborate.princeton.edu/en/persons/andre-benhaim,French Italian,"French, Italian","French_people, French, Gallic, Daniel_Chester_French, ","French, Italian, French_people, French, Gallic, Daniel_Chester_French, "
Ruha Benjamin,African American Studies,https://collaborate.princeton.edu/en/persons/ruha-benjamin,African American Studies,"African, American, Studies","African, , ","African, American, Studies, African, , "
Sandra Lekas Bermann,Comparative Literature,https://collaborate.princeton.edu/en/persons/sandra-lekas-bermann,Comparative Literature,"Comparative, Literature","comparative_degree, relative, comparative, ","Comparative, Literature, comparative_degree, relative, comparative, "
Bogdan Andrei Bernevig,"Physics, Princeton Center for Theoretical Science",https://collaborate.princeton.edu/en/persons/bogdan-andrei-bernevig,"Physics, Princeton Center Theoretical Science","Physics, Princeton, Center, Theoretical, Science","aperient, physical_science, purgative, natural_philosophy, physics, cathartic, physic, , , , ","Physics, Princeton, Center, Theoretical, Science, aperient, physical_science, purgative, natural_philosophy, physics, cathartic, physic, , , , "
Michael James Berry,Princeton Neuroscience Institute,https://collaborate.princeton.edu/en/persons/michael-james-berry,Princeton Neuroscience Institute,"Princeton, Neuroscience, Institute","Princeton, Princeton_University, , ","Princeton, Neuroscience, Institute, Princeton, Princeton_University, , "
Wallace DeNino Best,Religion,https://collaborate.princeton.edu/en/persons/wallace-denino-best,Religion,Religion,"religious_belief, religion, organized_religion, faith","Religion, religious_belief, religion, organized_religion, faith"
Manjul Bhargava,Mathematics,https://collaborate.princeton.edu/en/persons/manjul-bhargava,Mathematics,Mathematics,"math, maths, mathematics","Mathematics, math, maths, mathematics"
Ravindra N. Bhatt,"Electrical and Computer Engineering, Physics, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/ravindra-n-bhatt,"Electrical and Computer Engineering, Physics, Princeton Materials Institute","Electrical, and, Computer, Engineering, Physics, Princeton, Materials, Institute","electric, electrical, , , , , , , ","Electrical, and, Computer, Engineering, Physics, Princeton, Materials, Institute, electric, electrical, , , , , , , "
